Proxy,1,2,3,4,5,6,7,8,9
CHP,4.188720746870533,5.391997868401757,5.472498446383685,5.548137962027407,5.509249631399177,5.512707726347151,5.192751884408156,5.073905261696163,4.8105812872513
TomlProxy,3.3401084544137305,4.4148598867590625,4.535536197582578,4.619377555240886,4.69069736145255,4.643984563022679,4.649314865577561,4.2640280175411,4.308304523200146
EtcdProxy,3.3881836753673578,4.4874945126311285,4.582051376258846,4.601853495775811,4.61155767146988,4.723315281453362,4.657986664249858,4.536468739106592,4.26695483262803
