Proxy,TestID,1,2,3,4,5,6,7,8,9,10
CHP,0,28.64932850982753,29.676640232219317,28.196551400331842,28.356807159959793,32.514008740838946,32.547165532587336,33.19754543691686,33.63876465103906,29.596469332105038,27.99437137246316
CHP,1,24.67361583079031,29.122227408610602,30.80206569359213,31.602938785085076,32.199983090704244,33.93678880354924,34.12624405625415,30.3454766350307,34.350943484947244,28.931672473915366
CHP,2,24.52243914406584,29.389239927766678,31.22132117673095,31.925295677149002,32.062177231966466,33.004315588182216,34.824696805426136,34.41118343134169,27.133411723824455,24.094900199777726
CHP,3,24.837904241748596,29.31984548804908,30.38123484167587,31.307880493441022,31.74203777203091,33.80455695856921,33.3792923810225,27.817518385765432,30.20938641270623,33.809964883001165
CHP,4,24.629375677434773,30.044024607647305,30.81812017057858,31.65808993327942,32.789469775405145,33.12067757489331,34.050282298222854,34.52371455579057,29.53875631886152,29.554679687960125
TomlProxy,0,28.605591279444223,28.36166927927857,30.425716389196037,30.34353782213667,31.343337825706836,31.930330980243735,34.251670724407795,34.11733390272269,34.07141597991879,33.54949320007445
TomlProxy,1,26.473860345229237,29.209669813453864,30.432083437476358,30.646405725132055,31.96682914231611,32.19054303326389,34.29509258489074,34.16138257386647,34.68467976479115,34.958060464992094
TomlProxy,2,27.679673601989773,28.994805074092287,30.25389235203026,31.370475980557536,31.887913566597827,32.18152988304442,33.648367079090555,33.1428275964931,33.28274328681131,32.934967227654504
TomlProxy,3,25.823058278643405,29.41246198855897,30.06658258871229,31.900260410114385,31.82762816408939,32.3617694353349,34.34181156048448,34.316535335232594,33.721808693139586,34.65879781338195
TomlProxy,4,27.041368650610632,28.682086562039466,29.857295507916856,31.042862358305268,31.16684719407588,32.384493335848425,34.26532681970247,33.834644992044325,33.415713122990105,33.945222883145036
EtcdProxy,0,26.123004423080978,28.828888726759445,30.030670810750586,30.402592538095913,31.616166704603437,32.012446211870234,31.436571383477,31.501587012126745,31.690126801211186,30.41013512271222
EtcdProxy,1,24.03809281984282,27.277913126700692,28.97580947972557,29.193010666141546,30.13226116471659,32.19651438743217,32.72207351430413,33.003176812709015,32.75839137338337,32.051824713730475
EtcdProxy,2,25.527079871952825,27.19762245279922,29.011022339317837,30.769608685836506,30.481722157469093,31.193587762703157,33.212274339167536,32.83040483061721,32.88182555486699,32.59200714243393
EtcdProxy,3,24.690103054020007,28.13509029810373,29.47214936023169,30.786479941946265,30.807982755887153,32.07471262851645,32.878175815168554,32.616417006079715,32.38718887479227,33.073253088169736
EtcdProxy,4,25.28451184581686,29.25375367111309,29.222690110627823,30.50888731919196,30.380972493817943,31.530768497327532,32.72393434328376,32.97763042236208,32.50876259155812,32.7746602659585
ConsulProxy,0,26.513690681559343,27.33000897638295,29.919798448638193,29.706647869364858,30.41779172624516,31.856186341655985,33.50305262935187,33.406109489790474,33.14036712657417,32.30742328638518
ConsulProxy,1,25.17737014180661,26.796349407508895,28.870609201182216,29.861382276572463,29.995345772176638,29.53694681249658,31.5445745232765,32.549436476655806,31.984509560214704,31.21083561040785
ConsulProxy,2,23.850945803224334,26.79459607804234,28.84295625285519,29.418565491549813,31.196663591035488,30.022384085515714,31.767350290864425,33.14425268560066,32.45414124725247,32.41931003867807
ConsulProxy,3,24.490061180838776,28.556602970179625,29.2809785468574,29.573232083405845,30.118664847055914,30.977500810051765,32.19483298997661,32.71605100600013,32.05879740297239,30.484328232220637
ConsulProxy,4,24.442130528298673,27.139022753383653,29.919168423708637,29.9439049216468,30.83259631632246,31.61092371781004,32.44580907108979,31.990747898385425,32.98077569127157,32.538759654437044
