proxy,test_id,method,route_idx,cpu_time,real_time
CHP,1,add,4,0.03419701799999997,0.03628411699901335
CHP,1,delete,4,0.07216979100000032,0.0669800839968957
CHP,1,get_all,4,1.2559764160000002,1.1808152890007477
CHP,1,add,5,0.03735438400000035,0.03862513499916531
CHP,1,delete,5,0.06601718900000009,0.06107302900636569
CHP,1,get_all,5,1.2355975030000002,1.1619681430020137
CHP,1,add,6,0.15399566699999978,0.1416085520031629
CHP,1,delete,6,0.06455917499999941,0.059840304995304905
CHP,1,get_all,6,1.2250069620000001,1.1521856299950741
CHP,1,add,7,0.04318472900000003,0.04362830999889411
CHP,1,delete,7,0.020095288000000266,0.019494546999339946
CHP,1,get_all,7,1.4073221770000002,1.3233005209913244
CHP,1,add,8,0.1495249430000003,0.13730692100943998
CHP,1,delete,8,0.020633597999999864,0.020026102996780537
CHP,1,get_all,8,1.3975345239999992,1.3142009750008583
CHP,1,add,9,0.14189991699999993,0.13044931400509086
CHP,1,delete,9,0.022462707999999942,0.02154322899878025
CHP,1,get_all,9,1.3698790650000001,1.2883109220128972
CHP,1,add,10,0.05004504700000023,0.04964410200773273
CHP,1,delete,10,0.027852572000000464,0.026317392999771982
CHP,1,get_all,10,1.3582718309999997,1.2772470229974715
CHP,1,add,12,0.054775829,0.05371292900235858
CHP,1,delete,12,0.028885590999999877,0.027171552006620914
CHP,1,get_all,12,1.327140697,1.2479769499914255
CHP,1,add,13,0.06455786600000035,0.06300419800390955
CHP,1,delete,13,0.03606897800000031,0.03374012099811807
CHP,1,get_all,13,1.5471053480000005,1.4570137319969945
CHP,1,add,15,0.07800073400000063,0.07491338399995584
CHP,1,delete,15,0.03740047199999985,0.03501145499467384
CHP,1,get_all,15,1.6523676509999996,1.556402688001981
CHP,1,add,17,0.04801834299999985,0.0477858149970416
CHP,1,delete,17,0.021586370999999716,0.020848419997491874
CHP,1,get_all,17,1.3848764569999998,1.302620192989707
CHP,1,add,19,0.0873087589999999,0.08287591299449559
CHP,1,delete,19,0.04520130200000061,0.04216766401077621
CHP,1,get_all,19,1.474434928,1.3870569110003999
CHP,1,add,22,0.40519982600000004,0.3653626349987462
CHP,1,delete,22,0.05793439300000003,0.05385833499894943
CHP,1,get_all,22,1.608356777,1.5153311000030953
CHP,1,add,25,0.44276129499999994,0.3990015309973387
CHP,1,delete,25,0.35863555400000013,0.32358884101267904
CHP,1,get_all,25,1.4361120659999997,1.3507845450076275
CHP,1,add,28,0.39651892899999996,0.3576691070047673
CHP,1,delete,28,0.34988313100000035,0.31634279900754336
CHP,1,get_all,28,1.5665514640000007,1.4750845770031447
CHP,1,add,32,0.431599431,0.38932042400119826
CHP,1,delete,32,0.3689451100000003,0.33295072699547745
CHP,1,get_all,32,0.13140644399999957,0.12865304099977948
CHP,1,add,36,0.4110422360000001,0.37102750899794046
CHP,1,delete,36,0.3596278359999996,0.3245743330044206
CHP,1,get_all,36,0.03960652499999995,0.039926249999552965
CHP,1,add,41,0.48382351499999965,0.4350562450126745
CHP,1,delete,41,0.37444955600000007,0.33754864300135523
CHP,1,get_all,41,0.1990122320000003,0.1932344819942955
CHP,1,add,47,0.4591063169999998,0.41288074699696153
CHP,1,delete,47,0.315823977,0.28593845399154816
