proxy,concurrency,total_routes,test_id,method,route_idx,cpu_time,real_time
chp,1,500,0,add,0,0.004984616999999858,0.010119284999973388
chp,1,500,0,delete,0,0.003502411999999566,0.0041195130000915015
chp,1,500,0,get_all,0,0.005561589000000922,0.008343970999931116
chp,1,500,0,add,1,0.001170985999999985,0.002007018999961474
chp,1,500,0,delete,1,0.000995225000000488,0.0011528499999258202
chp,1,500,0,get_all,1,0.0028868640000005996,0.004345317999991494
chp,1,500,0,add,2,0.0010843840000003269,0.0017184890000407904
chp,1,500,0,delete,2,0.0009779189999985505,0.0011409090000142896
chp,1,500,0,get_all,2,0.0027804489999994075,0.0041854620000094656
chp,1,500,0,add,3,0.0010671700000006723,0.001645561000032103
chp,1,500,0,delete,3,0.0009679889999993918,0.0011158679999425658
chp,1,500,0,get_all,3,0.0027791110000006114,0.004182886999956281
chp,1,500,0,add,4,0.001066467999999432,0.0016558590000386175
chp,1,500,0,delete,4,0.001017866999999839,0.0011359740000216334
chp,1,500,0,get_all,4,0.0027245940000000246,0.004106267999986812
chp,1,500,0,add,5,0.0010969400000000462,0.0016394840000657496
chp,1,500,0,delete,5,0.0009679270000013673,0.0010906419998946149
chp,1,500,0,get_all,5,0.0031433459999998803,0.004484041999944566
chp,1,500,0,add,6,0.0010638519999996987,0.0016019980000692158
chp,1,500,0,delete,6,0.0009680999999996942,0.0011194360000672532
chp,1,500,0,get_all,6,0.002788431000000813,0.004163404999985687
chp,1,500,0,add,7,0.0010790099999997693,0.0016167830000313188
chp,1,500,0,delete,7,0.000986109999999485,0.0011177369999586517
chp,1,500,0,get_all,7,0.002752854000000582,0.0041143180000062785
chp,1,500,0,add,8,0.001085290999998989,0.00158393200001683
chp,1,500,0,delete,8,0.0009618219999989464,0.0010914189999766677
chp,1,500,0,get_all,8,0.002760294000001551,0.004123835999962466
chp,1,500,0,add,9,0.0010624620000001528,0.0015270830000417845
chp,1,500,0,delete,9,0.0009526739999987655,0.0010728700000299796
chp,1,500,0,get_all,9,0.002730792999999565,0.0040900080000483285
chp,1,500,0,add,10,0.0010798290000000321,0.0015502140000762665
chp,1,500,0,delete,10,0.0009873949999992249,0.0014854769999601558
chp,1,500,0,get_all,10,0.002769874000000172,0.004131349999966005
chp,1,500,0,add,11,0.0010720919999993583,0.0015645979999590054
chp,1,500,0,delete,11,0.001017296000000556,0.0012700510000058784
chp,1,500,0,get_all,11,0.002748005999999137,0.004213769999978467
chp,1,500,0,add,12,0.0010648710000005224,0.0015528750000157743
chp,1,500,0,delete,12,0.0009792219999997798,0.0011369769999873824
chp,1,500,0,get_all,12,0.002853907000000433,0.004456234999906883
chp,1,500,0,add,13,0.0010761999999999716,0.0015651850000040213
chp,1,500,0,delete,13,0.0009953190000011602,0.0011497069999677478
chp,1,500,0,get_all,13,0.0027825909999990017,0.00467508799999905
chp,1,500,0,add,14,0.0010658459999994818,0.001524119000009705
chp,1,500,0,delete,14,0.001000563999999926,0.0011357690000295406
chp,1,500,0,get_all,14,0.002730959999999172,0.004095832999951199
chp,1,500,0,add,15,0.0010777209999996984,0.0014924619999874267
chp,1,500,0,delete,15,0.0009772969999986003,0.0011091820000501684
chp,1,500,0,get_all,15,0.0027438990000003827,0.004116675999966901
chp,1,500,0,add,16,0.0010569779999993756,0.0014923109999926965
chp,1,500,0,delete,16,0.0009710729999987677,0.0011038920000601138
chp,1,500,0,get_all,16,0.002840108000000896,0.004460872000095151
chp,1,500,0,add,17,0.0010629580000003358,0.0015176580000115791
chp,1,500,0,delete,17,0.0009876240000004088,0.0011171259999400718
chp,1,500,0,get_all,17,0.002767335999999787,0.004137792000051377
chp,1,500,0,add,18,0.0010700519999993219,0.001545797000062521
chp,1,500,0,delete,18,0.0009694450000008459,0.001083392000055028
chp,1,500,0,get_all,18,0.002770270000000963,0.004104549999965457
chp,1,500,0,add,19,0.001061676000000844,0.0014763430000357403
chp,1,500,0,delete,19,0.0010648610000014713,0.001199098000029153
chp,1,500,0,get_all,19,0.002720568000000867,0.004048576999934994
chp,1,500,0,add,20,0.0010551220000003525,0.0014655159999392708
chp,1,500,0,delete,20,0.0010262949999990667,0.0011436400000093272
chp,1,500,0,get_all,20,0.0027544910000010248,0.004093304999969405
chp,1,500,0,add,21,0.0010906039999998285,0.001485262000073817
chp,1,500,0,delete,21,0.000998261999999528,0.0011229479999883551
chp,1,500,0,get_all,21,0.002737601999999839,0.004094905999977527
chp,1,500,0,add,22,0.0010527719999995355,0.0014603160000206117
chp,1,500,0,delete,22,0.0010322899999994917,0.0011682419999488047
chp,1,500,0,get_all,22,0.0027391819999991185,0.004099741000004542
chp,1,500,0,add,23,0.0010762169999996019,0.0014840809999441262
chp,1,500,0,delete,23,0.0010719760000004186,0.0011798809999845616
chp,1,500,0,get_all,23,0.0028078310000001494,0.004132905999995273
chp,1,500,0,add,24,0.001043359000000521,0.0014523380000355246
chp,1,500,0,delete,24,0.000999397999999374,0.0011177439999983108
chp,1,500,0,get_all,24,0.002770596999999597,0.00410636499998418
chp,1,500,0,add,25,0.001074087999999307,0.001472279000040544
chp,1,500,0,delete,25,0.0009683670000004696,0.0010871020000422504
chp,1,500,0,get_all,25,0.00272458499999928,0.004155604999937168
chp,1,500,0,add,26,0.0010656809999982642,0.0014875750000555854
chp,1,500,0,delete,26,0.0009591180000008137,0.0010749129999112483
chp,1,500,0,get_all,26,0.0027778279999992606,0.004127907999986746
chp,1,500,0,add,27,0.0010565820000003612,0.0014398800000208212
chp,1,500,0,delete,27,0.0009613630000000484,0.0010730930000590888
chp,1,500,0,get_all,27,0.0027504700000005045,0.004088703999968857
chp,1,500,0,add,28,0.0010432710000003453,0.0014434370000344643
chp,1,500,0,delete,28,0.0010106749999998499,0.0011239090000572105
chp,1,500,0,get_all,28,0.0027400780000004232,0.004077272000017729
chp,1,500,0,add,29,0.001068447999999833,0.0014463610000348126
chp,1,500,0,delete,29,0.0009904579999986396,0.0011053990000391423
chp,1,500,0,get_all,29,0.0027589340000009344,0.004510420999963571
chp,1,500,0,add,30,0.0010552659999998326,0.0014650179999762258
chp,1,500,0,delete,30,0.0009712600000000293,0.0010791070000095715
chp,1,500,0,get_all,30,0.002739669000000333,0.004086509999979171
chp,1,500,0,add,31,0.0010774449999999547,0.0014713059999849065
chp,1,500,0,delete,31,0.0009619500000006553,0.0010837159999255164
chp,1,500,0,get_all,31,0.002765260999998631,0.004093967000017074
chp,1,500,0,add,32,0.001053892999999917,0.001446391000058611
chp,1,500,0,delete,32,0.0009713040000001172,0.0011256020000018907
chp,1,500,0,get_all,32,0.0027473819999990212,0.00407820400005221
chp,1,500,0,add,33,0.0010611360000005732,0.0014398400001027767
chp,1,500,0,delete,33,0.0009834349999984227,0.0011198950001016783
chp,1,500,0,get_all,33,0.0027530700000006902,0.004092652999929669
chp,1,500,0,add,34,0.0010785070000007835,0.0014855960000659252
chp,1,500,0,delete,34,0.0009680359999997279,0.0010867580000422095
chp,1,500,0,get_all,34,0.0027395880000007367,0.004090109999992819
chp,1,500,0,add,35,0.0010844279999986384,0.001464486000031684
chp,1,500,0,delete,35,0.0010452109999992132,0.0011901640000360203
chp,1,500,0,get_all,35,0.0027390329999992247,0.00411742400001458
chp,1,500,0,add,36,0.0010582560000003127,0.0014446970000108195
chp,1,500,0,delete,36,0.0010004139999999495,0.0017048039999281173
chp,1,500,0,get_all,36,0.0027447750000000326,0.004106954000008045
chp,1,500,0,add,37,0.001161920999999566,0.0015583440000455084
chp,1,500,0,delete,37,0.0009819269999997715,0.0011950000000524597
chp,1,500,0,get_all,37,0.0027187500000014353,0.004085056999997505
chp,1,500,0,add,38,0.0010872669999990592,0.001493526999979622
chp,1,500,0,delete,38,0.0009852360000000004,0.0011277460000655992
chp,1,500,0,get_all,38,0.002719053999999943,0.004062228999941908
chp,1,500,0,add,39,0.0010750460000004125,0.0014811029999464154
chp,1,500,0,delete,39,0.0009599519999987649,0.00108305300000211
chp,1,500,0,get_all,39,0.0027329090000005607,0.004096604999972442
chp,1,500,0,add,40,0.0010781950000016138,0.0014797530000123515
chp,1,500,0,delete,40,0.0009509399999991786,0.0010679490000029546
chp,1,500,0,get_all,40,0.002727784999999372,0.004075845999977901
chp,1,500,0,add,41,0.0010721599999996556,0.0014599840000073527
chp,1,500,0,delete,41,0.0009492089999998399,0.001086294999936399
chp,1,500,0,get_all,41,0.002708477000000542,0.004052818999980445
chp,1,500,0,add,42,0.0011418079999998554,0.0015173110000432644
chp,1,500,0,delete,42,0.0009628479999985728,0.0010836949999202261
chp,1,500,0,get_all,42,0.0027462670000009126,0.004109864000042762
chp,1,500,0,add,43,0.001239802999998929,0.001694250000014108
chp,1,500,0,delete,43,0.0009521760000001933,0.0010751969999773792
chp,1,500,0,get_all,43,0.0027476919999998017,0.00408734400002686
chp,1,500,0,add,44,0.0011840480000007148,0.0015644459999748506
chp,1,500,0,delete,44,0.0009718430000003053,0.0015217410000332166
chp,1,500,0,get_all,44,0.0027648799999990814,0.004086019999931523
chp,1,500,0,add,45,0.0011106380000001081,0.001480639000078554
chp,1,500,0,delete,45,0.0009583510000013007,0.0011180300000432908
chp,1,500,0,get_all,45,0.002761658999999028,0.00443216200005736
chp,1,500,0,add,46,0.0011047430000008518,0.001486616000079266
chp,1,500,0,delete,46,0.0009609879999992188,0.0011157270000694552
chp,1,500,0,get_all,46,0.002755822000001018,0.004079361999970388
chp,1,500,0,add,47,0.0011360160000002395,0.0015193909999879907
chp,1,500,0,delete,47,0.0009509510000000887,0.0011013520000915378
chp,1,500,0,get_all,47,0.0027500040000010273,0.004074198000012075
chp,1,500,0,add,48,0.0011013570000013573,0.00147792899997512
chp,1,500,0,delete,48,0.0009600390000006342,0.001076002999980119
chp,1,500,0,get_all,48,0.002833391999999435,0.004404052000040792
chp,1,500,0,add,49,0.0010805409999985471,0.001471477999984927
chp,1,500,0,delete,49,0.0009629099999983737,0.0010765319999563872
chp,1,500,0,get_all,49,0.0027358639999999212,0.004063490000021375
chp,1,500,0,add,50,0.0011713719999999483,0.0015798089999634612
chp,1,500,0,delete,50,0.0009415260000000814,0.0010568759998932364
chp,1,500,0,get_all,50,0.002782759999998774,0.004100029999904109
