Proxy,1,2,3,4,5,6,7,8,9
CHP,305.31921838872466,471.24077115036243,549.5500941099499,589.1646715839755,602.6926728326046,632.7720776170243,652.5614776787562,656.5360600827842,661.8190657043411
TomlProxy,447.67422535918183,694.7091990856512,834.1111315424134,782.1718934631169,760.4663928865159,829.6827850834443,789.1626365837623,829.084543810391,800.3065455857218
EtcdProxy,435.19621198684985,703.2782566936182,748.0959710089518,769.3477479567239,752.1920376546265,733.0346069233932,762.5305144865206,773.9333543919972,764.9806368488607
ConsulProxy,305.8362125575917,469.1437388511825,519.1983976127776,542.0973468561388,552.7424107847297,547.3534156755984,557.7514929159922,548.397268159824,532.724884760463
