proxy,concurrency,total_routes,test_id,method,route_idx,cpu_time,real_time
etcd,1,500,0,add,0,0.00846727899999955,0.2103580489997512
etcd,1,500,0,delete,0,0.003798495000012281,0.0042580250001265085
etcd,1,500,0,get_all,0,0.19619798699999969,0.23870687899989207
etcd,1,500,0,add,1,0.00578883999999924,0.21879791100036527
etcd,1,500,0,delete,1,0.0010831910000064227,0.006408344000192301
etcd,1,500,0,get_all,1,0.18811981099999997,0.22869995700011714
etcd,1,500,0,add,2,0.007586835999999764,0.4264153110002553
etcd,1,500,0,delete,2,0.0010079170000096838,0.0014108700001997931
etcd,1,500,0,get_all,2,0.18634221099999948,0.22128774600014367
etcd,1,500,0,add,3,0.0107023599999998,0.45809460800001034
etcd,1,500,0,delete,3,0.001090826000009315,0.0015748679998068837
etcd,1,500,0,get_all,3,0.1866517830000003,0.22184819799986144
etcd,1,500,0,add,4,0.005935054000000051,0.20881110199979958
etcd,1,500,0,delete,4,0.001038574000006065,0.0013883589999750257
etcd,1,500,0,get_all,4,0.18748090899999958,0.2282649839999067
etcd,1,500,0,add,5,0.005995729000000338,0.309749987000032
etcd,1,500,0,delete,5,0.0009770820000056801,0.0013060780001978856
etcd,1,500,0,get_all,5,0.1885697369999999,0.2359754049998628
etcd,1,500,0,add,6,0.007060552000000442,0.37452580700028193
etcd,1,500,0,delete,6,0.0009824389999977257,0.0012707290002254013
etcd,1,500,0,get_all,6,0.18662748900000103,0.22275908900019203
etcd,1,500,0,add,7,0.004687404000000228,0.18207234399960726
etcd,1,500,0,delete,7,0.0009959030000032953,0.0013446870002553624
etcd,1,500,0,get_all,7,0.19183656700000107,0.23935785699995904
etcd,1,500,0,add,8,0.009276059000001169,0.4553168040001765
etcd,1,500,0,delete,8,0.0009718330000083597,0.0012669190000451636
etcd,1,500,0,get_all,8,0.19016510500000017,0.23708401999965645
etcd,1,500,0,add,9,0.005863477000000117,0.2897114639999927
etcd,1,500,0,delete,9,0.0009834259999905726,0.0012716239998553647
etcd,1,500,0,get_all,9,0.18844233999999993,0.22406841000019995
etcd,1,500,0,add,10,0.007056716999999324,0.40768804499975886
etcd,1,500,0,delete,10,0.0012051209999981438,0.002401488000032259
etcd,1,500,0,get_all,10,0.18626643600000037,0.2221056220000719
etcd,1,500,0,add,11,0.00849801800000094,0.3711411530002806
etcd,1,500,0,delete,11,0.000977892000008751,0.001300892000017484
etcd,1,500,0,get_all,11,0.18585128299999987,0.21893860999989556
etcd,1,500,0,add,12,0.00859348300000029,0.5240580829999999
etcd,1,500,0,delete,12,0.0009782310000048255,0.0012562799997795082
etcd,1,500,0,get_all,12,0.20072944400000026,0.24825065899995025
etcd,1,500,0,add,13,0.005720158999999114,0.13344904999985374
etcd,1,500,0,delete,13,0.000990599000004977,0.001310635000209004
etcd,1,500,0,get_all,13,0.20747262300000102,0.2615069729999959
etcd,1,500,0,add,14,0.004403182000000783,0.13883420599995588
etcd,1,500,0,delete,14,0.0010256260000005568,0.0013429430000542197
etcd,1,500,0,get_all,14,0.2085427899999992,0.26683540100020764
etcd,1,500,0,add,15,0.004323115000000044,0.1766754589998527
etcd,1,500,0,delete,15,0.001023605000000316,0.0013362720001168782
etcd,1,500,0,get_all,15,0.19835168999999908,0.2486887779996323
etcd,1,500,0,add,16,0.007515241000000117,0.30897648499967545
etcd,1,500,0,delete,16,0.0009685200000006944,0.001268873999833886
etcd,1,500,0,get_all,16,0.1923223639999989,0.23668790500005343
etcd,1,500,0,add,17,0.008091132000000556,0.43543966500010356
etcd,1,500,0,delete,17,0.0009416330000107109,0.0012348410000413423
