proxy,test_id,method,route_idx,cpu_time,real_time
EtcdProxy,0,add,1,0.01985664500000006,0.40664390500751324
EtcdProxy,0,delete,1,0.001205830000003516,0.03130030899774283
EtcdProxy,0,get_all,1,0.11389689499999989,0.15039595100097358
EtcdProxy,0,add,2,0.011052174000000026,0.1406311070022639
EtcdProxy,0,delete,2,0.001028919999995992,0.0014273819979280233
EtcdProxy,0,get_all,2,0.1152065069999999,0.1524202000000514
EtcdProxy,0,add,3,0.014929272000000049,0.39479208999546245
EtcdProxy,0,delete,3,0.0008306539999978213,0.0011552139767445624
EtcdProxy,0,get_all,3,0.11114800000000002,0.14486922801006585
EtcdProxy,0,add,4,0.016363743000000097,0.23178424799698405
EtcdProxy,0,delete,4,0.0008825689999980568,0.00238472199998796
EtcdProxy,0,get_all,4,0.1118326990000007,0.14922177800326608
EtcdProxy,0,add,5,0.01180507899999994,0.1761125560151413
EtcdProxy,0,delete,5,0.0008676150000042071,0.0011947999882977456
EtcdProxy,0,get_all,5,0.11717457399999986,0.15179788999375887
EtcdProxy,0,add,6,0.017931807000000077,0.4713788270018995
EtcdProxy,0,delete,6,0.0009030129999985093,0.0014567399921361357
EtcdProxy,0,get_all,6,0.11534210399999978,0.1529424519976601
EtcdProxy,0,add,7,0.015181791000000056,0.47812178201274946
EtcdProxy,0,delete,7,0.0009269730000056597,0.0011964410077780485
EtcdProxy,0,get_all,7,0.11254897700000299,0.14494877000106499
EtcdProxy,0,add,8,0.017656201999999954,0.39055196300614625
EtcdProxy,0,delete,8,0.0008858949999961396,0.0011600709985941648
EtcdProxy,0,get_all,8,0.11435795199999887,0.14788793900515884
EtcdProxy,0,add,9,0.02096797699999997,0.27336090899189003
EtcdProxy,0,delete,9,0.0012457680000039772,0.0015340589743573219
EtcdProxy,0,get_all,9,0.11402297099999714,0.14778293599374592
EtcdProxy,0,add,10,0.020379075999999996,0.5156859559938312
EtcdProxy,0,delete,10,0.0009292729999970106,0.0012185169907752424
EtcdProxy,0,get_all,10,0.11464700100000158,0.1473468260082882
EtcdProxy,0,add,12,0.0281648619999999,1.5109320880146697
EtcdProxy,0,delete,12,0.0008371649999929787,0.0011117899848613888
EtcdProxy,0,get_all,12,0.11383061900000158,0.14804762101266533
EtcdProxy,0,add,13,0.017934515999999956,0.30964288499671966
EtcdProxy,0,delete,13,0.0009279740000067704,0.001216617994941771
EtcdProxy,0,get_all,13,0.11815404500000071,0.15473097600624897
EtcdProxy,0,add,15,0.030220385999999877,1.1122295529930852
EtcdProxy,0,delete,15,0.0009526380000011159,0.0012271730229258537
EtcdProxy,0,get_all,15,0.11702848599999882,0.15174685398233123
EtcdProxy,0,add,17,0.020751995000000134,0.5521461839962285
EtcdProxy,0,delete,17,0.000895640999999614,0.001175409008283168
EtcdProxy,0,get_all,17,0.11454769400000231,0.14959177598939277
EtcdProxy,0,add,19,0.025120101000000172,0.4592876679962501
EtcdProxy,0,delete,19,0.0008951149999916197,0.0011596449767239392
EtcdProxy,0,get_all,19,0.11372100299999843,0.14805786299984902
EtcdProxy,0,add,22,0.02619548000000016,0.961325514013879
EtcdProxy,0,delete,22,0.0011315679999910344,0.0014038109802640975
EtcdProxy,0,get_all,22,0.11778283199999962,0.15216861900989898
EtcdProxy,0,add,25,0.02847127599999988,1.902318631997332
EtcdProxy,0,delete,25,0.0009009980000058704,0.001191126008052379
EtcdProxy,0,get_all,25,0.11630707100000137,0.15134080999996513
EtcdProxy,0,add,28,0.015813014999999986,0.5123797910055146
EtcdProxy,0,delete,28,0.0009172839999962434,0.0011601050209719688
EtcdProxy,0,get_all,28,0.10882563699999892,0.13865901800454594
EtcdProxy,0,add,32,0.031095212999999955,1.7569389319978654
EtcdProxy,0,delete,32,0.0009435230000036654,0.001263841026229784
EtcdProxy,0,get_all,32,0.15282567899999933,0.18980948498938233
EtcdProxy,0,add,36,0.02289330199999995,1.0743250410014298
EtcdProxy,0,delete,36,0.0011208349999947131,0.0016565829864703119
EtcdProxy,0,get_all,36,0.11255567999999982,0.14450961799593642
EtcdProxy,0,add,41,0.02836390600000005,1.6033557420014404
