proxy,concurrency,total_routes,test_id,method,route_idx,cpu_time,real_time
file,1,500,0,add,0,0.06538144100000132,0.9961974359999886
file,1,500,0,delete,0,0.0324630149999976,0.03246476000003895
file,1,500,0,get_all,0,0.009849230000000375,0.00984969799992541
file,1,500,0,add,1,0.011337579000000986,0.16691610800000944
file,1,500,0,delete,1,0.03130676500000007,0.0313075880001179
file,1,500,0,get_all,1,0.009026717000001128,0.009026225000070554
file,1,500,0,add,2,0.013518415999998368,0.4478395209999917
file,1,500,0,delete,2,0.031415071999997934,0.03142680799987829
file,1,500,0,get_all,2,0.00902651200000193,0.009026304000030905
file,1,500,0,add,3,0.011320664000001202,0.1778821609999568
file,1,500,0,delete,3,0.031283989000002066,0.03128502999993543
file,1,500,0,get_all,3,0.009070670999999919,0.009070513999972718
file,1,500,0,add,4,0.012811315000000434,0.23184593399992082
file,1,500,0,delete,4,0.031076269999999795,0.03107698100006928
file,1,500,0,get_all,4,0.009058073000002054,0.009057473999973809
file,1,500,0,add,5,0.012823744000000303,0.36373767700001736
file,1,500,0,delete,5,0.030973352000000176,0.03097421300003589
file,1,500,0,get_all,5,0.008909121999998604,0.00890883300007772
file,1,500,0,add,6,0.012766706000000738,0.3258342530000391
file,1,500,0,delete,6,0.03086344399999774,0.030864357999917047
file,1,500,0,get_all,6,0.008966702999998688,0.008966351000026407
file,1,500,0,add,7,0.015059155999999518,0.20145635599999423
file,1,500,0,delete,7,0.030588168000001303,0.030640666000181227
file,1,500,0,get_all,7,0.008924947000000572,0.008924521000039931
file,1,500,0,add,8,0.013884258000000926,0.33120772600000237
file,1,500,0,delete,8,0.03065732199999971,0.03065840199997183
file,1,500,0,get_all,8,0.00888363899999689,0.008883493000098497
file,1,500,0,add,9,0.01176132299999999,0.20526003500003753
file,1,500,0,delete,9,0.03040552999999946,0.030406380999920657
file,1,500,0,get_all,9,0.008879493000002014,0.008879007000018646
file,1,500,0,add,10,0.015537345000000258,0.5566510630000039
file,1,500,0,delete,10,0.030380889999999994,0.03038139999989653
file,1,500,0,get_all,10,0.008932403999999394,0.008932053999956224
file,1,500,0,add,11,0.011616827999999302,0.11799275399994258
file,1,500,0,delete,11,0.030474272999999386,0.030475308999939443
file,1,500,0,get_all,11,0.008962057999998052,0.008962173999975676
file,1,500,0,add,12,0.012632403999999653,0.1823108639999873
file,1,500,0,delete,12,0.030351033999998833,0.03035173000012037
file,1,500,0,get_all,12,0.008959508000000227,0.008959417000028225
file,1,500,0,add,13,0.013293110000001107,0.43329073899997184
file,1,500,0,delete,13,0.030616926000000433,0.03061748599998282
file,1,500,0,get_all,13,0.009028241999999409,0.009027843999888319
file,1,500,0,add,14,0.013838266000000488,0.2366366270000526
file,1,500,0,delete,14,0.030490076999999616,0.030490631000020585
file,1,500,0,get_all,14,0.008883064999999135,0.008882534999997915
file,1,500,0,add,15,0.013996860000000666,0.4121333399999685
file,1,500,0,delete,15,0.03023500799999823,0.03023586799986333
file,1,500,0,get_all,15,0.008930843000001687,0.008930962000022191
file,1,500,0,add,16,0.01178686099999915,0.2150645250000025
file,1,500,0,delete,16,0.029980855999998113,0.029981466999970507
file,1,500,0,get_all,16,0.00892130100000088,0.0089210200000025
file,1,500,0,add,17,0.013934278000000688,0.10274175100005323
file,1,500,0,delete,17,0.029912623000001304,0.02991327400013688
file,1,500,0,get_all,17,0.008966104999998947,0.008965844999920591
file,1,500,0,add,18,0.012855868999999132,0.25561282800003937
file,1,500,0,delete,18,0.029792574000001792,0.029793257000164886
file,1,500,0,get_all,18,0.008914365000002533,0.008913856000049236
file,1,500,0,add,19,0.01663510900000098,0.7722002190000694
file,1,500,0,delete,19,0.029800186999999312,0.02981151599988152
file,1,500,0,get_all,19,0.008931751999998738,0.008931383999993159
file,1,500,0,add,20,0.01701322999999988,0.5534258459999819
file,1,500,0,delete,20,0.029597947999999263,0.029598403999898437
file,1,500,0,get_all,20,0.008912363000000312,0.008912151999993512
file,1,500,0,add,21,0.013060750999999371,0.15870486599999367
file,1,500,0,delete,21,0.029546574000001158,0.02954757700013033
file,1,500,0,get_all,21,0.008854336000002405,0.008854029999952218
file,1,500,0,add,22,0.015504403999999639,0.42926195699999425
file,1,500,0,delete,22,0.02966663400000158,0.029667137999922488
file,1,500,0,get_all,22,0.008877428000001686,0.00887711199993646
file,1,500,0,add,23,0.01210112000000052,0.1683187110000972
file,1,500,0,delete,23,0.029506681000000867,0.029566950999878827
file,1,500,0,get_all,23,0.00888979799999845,0.008889604999922085
file,1,500,0,add,24,0.014526134999998774,0.42714325300005385
file,1,500,0,delete,24,0.029649764000001966,0.02965000900007908
file,1,500,0,get_all,24,0.00889026800000181,0.008889961999898333
file,1,500,0,add,25,0.01235705099999862,0.13562813199996526
file,1,500,0,delete,25,0.029240802000000343,0.029241418999845337
file,1,500,0,get_all,25,0.008903152000002024,0.008903013000008286
file,1,500,0,add,26,0.013585985000000633,0.22434133299998393
file,1,500,0,delete,26,0.029249975999999123,0.029250168000089616
file,1,500,0,get_all,26,0.008883240999999487,0.008882898000024397
file,1,500,0,add,27,0.014648348999999783,0.5763404230000333
file,1,500,0,delete,27,0.02923705799999965,0.02923759100008283
file,1,500,0,get_all,27,0.008887358000002621,0.008886953000001085
file,1,500,0,add,28,0.014538649000000348,0.3379298680000602
file,1,500,0,delete,28,0.028938017999998067,0.028938645999915025
file,1,500,0,get_all,28,0.008951554999999445,0.008951563999971768
file,1,500,0,add,29,0.013549783000000204,0.28835053900002094
file,1,500,0,delete,29,0.028844040999999265,0.02884468599995671
file,1,500,0,get_all,29,0.00901289099999758,0.009012476000066272
file,1,500,0,add,30,0.016920391999999396,0.5360348069999645
file,1,500,0,delete,30,0.028654814000002915,0.028655404000119233
file,1,500,0,get_all,30,0.00891844399999897,0.008918249999965155
file,1,500,0,add,31,0.014682909999999438,0.21282839800005604
file,1,500,0,delete,31,0.028794016999999172,0.028794643999844993
file,1,500,0,get_all,31,0.008935835999999142,0.008935500000006869
file,1,500,0,add,32,0.015821173000000854,0.48283859699995446
file,1,500,0,delete,32,0.0286396929999988,0.028640099999847735
file,1,500,0,get_all,32,0.008956140999998752,0.008955566999929943
file,1,500,0,add,33,0.016130937999999873,0.4340557619999572
file,1,500,0,delete,33,0.028571227000000476,0.028571173000045746
file,1,500,0,get_all,33,0.008932373000000382,0.008932239000046138
file,1,500,0,add,34,0.013848616000000646,0.2585774400000673
file,1,500,0,delete,34,0.028469265999998328,0.02846961399995962
file,1,500,0,get_all,34,0.008859796999999503,0.008859642000061285
file,1,500,0,add,35,0.013050346999998297,0.18751578499995958
file,1,500,0,delete,35,0.02836151800000053,0.02837453799998002
file,1,500,0,get_all,35,0.00889239700000033,0.008891980000043986
file,1,500,0,add,36,0.01623092800000059,0.42235582900002555
file,1,500,0,delete,36,0.0282538869999982,0.028254363999849375
file,1,500,0,get_all,36,0.008978716000001441,0.008978365999951166
file,1,500,0,add,37,0.01677502899999972,0.4806238859999894
file,1,500,0,delete,37,0.028639435999998852,0.02864009600011741
file,1,500,0,get_all,37,0.008971882999997405,0.008971622999979445
file,1,500,0,add,38,0.013229417999999882,0.18596550200004458
file,1,500,0,delete,38,0.028125229000000473,0.02812585899982878
file,1,500,0,get_all,38,0.008924772000000303,0.008924624999963271
file,1,500,0,add,39,0.015489501999999433,0.5299352449999333
file,1,500,0,delete,39,0.028034959999999387,0.02803541799994491
file,1,500,0,get_all,39,0.008908930000000481,0.008908711999993102
file,1,500,0,add,40,0.015032465000000883,0.19421019499998238
file,1,500,0,delete,40,0.02778154099999952,0.027782619999925373
file,1,500,0,get_all,40,0.008979422000003012,0.0089782649999961
file,1,500,0,add,41,0.012748887000000764,0.15832508300002246
file,1,500,0,delete,41,0.02788273600000224,0.02788317400018059
file,1,500,0,get_all,41,0.008882746000001163,0.008882633999974132
file,1,500,0,add,42,0.014084250999999881,0.39196021800000835
file,1,500,0,delete,42,0.02779366900000113,0.027857710000034785
file,1,500,0,get_all,42,0.008931138999997756,0.00893081499998516
file,1,500,0,add,43,0.01415190200000005,0.37606136900001275
file,1,500,0,delete,43,0.02754132800000164,0.027541939999991882
file,1,500,0,get_all,43,0.008933028999997816,0.0089328359999854
file,1,500,0,add,44,0.015351636000000113,0.3787406879999935
file,1,500,0,delete,44,0.02747158200000044,0.027472014999830208
