proxy,test_id,method,route_idx,cpu_time,real_time
ConsulProxy,0,get_all,268,0.25405240899999626,0.3009485399816185
ConsulProxy,0,add,304,0.03543755300000129,4.57116446713917
ConsulProxy,0,delete,304,0.0019615129999976944,0.0036719031631946564
ConsulProxy,0,get_all,304,0.2922093819999958,0.34674834297038615
ConsulProxy,0,add,344,0.045930309000000946,8.412325663026422
ConsulProxy,0,delete,344,0.002228293000001713,0.004349861992523074
ConsulProxy,0,get_all,344,0.24776171499999577,0.28469697502441704
ConsulProxy,0,add,389,0.03969544399999947,6.090792115079239
ConsulProxy,0,delete,389,0.00673824099999365,0.012735293013975024
ConsulProxy,0,get_all,389,0.2644994779999905,0.3049807259812951
ConsulProxy,0,add,441,0.041544868999999096,7.740752968005836
ConsulProxy,0,delete,441,0.0026635800000178733,0.007019598037004471
ConsulProxy,0,get_all,441,0.27038539899999137,0.3205261949915439
